+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
| 날짜/시간           | 내부온도(°C) | 외부온도(°C) | 내부습도(%) | 외부광량(W/m²) | CO2(%) | 산소농도(%) |
+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
| 2026-04-02 17:59:26 | 24            | 18            | 51          | 610             | 0.0782 | 4           |
| 2026-04-02 17:59:26 | 19            | 15            | 60          | 582             | 0.0604 | 4           |
| 2026-04-02 17:59:26 | 25            | 8             | 58          | 648             | 0.0322 | 7           |
| 2026-04-02 18:11:14 | 29            | 10            | 57          | 552             | 0.0866 | 6           |
| 2026-04-02 18:11:15 | 22            | 18            | 53          | 553             | 0.0412 | 4           |
| 2026-04-02 18:11:16 | 18            | 1             | 56          | 609             | 0.0799 | 7           |
| 2026-04-02 18:11:16 | 19            | 16            | 58          | 584             | 0.0987 | 4           |
| 2026-04-02 18:11:17 | 18            | 0             | 57          | 582             | 0.0376 | 6           |
| 2026-04-02 18:11:17 | 21            | 11            | 57          | 700             | 0.066  | 6           |
| 2026-04-02 18:11:18 | 30            | 9             | 52          | 676             | 0.0907 | 6           |
| 2026-04-02 18:11:18 | 19            | 12            | 60          | 713             | 0.0667 | 4           |
| 2026-04-02 18:11:19 | 21            | 19            | 56          | 612             | 0.0218 | 7           |
| 2026-04-02 18:11:19 | 22            | 8             | 60          | 645             | 0.0924 | 7           |
| 2026-04-02 18:11:20 | 30            | 1             | 60          | 704             | 0.024  | 7           |
| 2026-04-02 18:11:20 | 28            | 19            | 55          | 631             | 0.0911 | 6           |
| 2026-04-02 18:11:21 | 22            | 18            | 53          | 687             | 0.0851 | 7           |
| 2026-04-02 18:11:21 | 20            | 17            | 59          | 613             | 0.0949 | 7           |
| 2026-04-02 18:11:22 | 23            | 5             | 56          | 548             | 0.0657 | 7           |
| 2026-04-02 18:11:22 | 27            | 11            | 50          | 657             | 0.052  | 4           |
| 2026-04-02 18:11:23 | 20            | 16            | 58          | 573             | 0.0531 | 7           |
| 2026-04-02 18:11:23 | 22            | 10            | 59          | 505             | 0.0364 | 7           |
| 2026-04-02 18:11:23 | 25            | 2             | 57          | 644             | 0.0954 | 4           |
| 2026-04-02 18:11:24 | 27            | 16            | 57          | 578             | 0.0464 | 7           |
| 2026-04-02 18:11:24 | 24            | 17            | 53          | 595             | 0.0322 | 7           |
| 2026-04-02 18:11:25 | 19            | 14            | 58          | 522             | 0.0703 | 6           |
| 2026-04-02 18:11:25 | 25            | 13            | 60          | 642             | 0.0965 | 4           |
| 2026-04-02 18:11:26 | 19            | 18            | 59          | 645             | 0.0752 | 7           |
| 2026-04-02 18:11:26 | 25            | 2             | 60          | 601             | 0.0468 | 6           |
| 2026-04-02 18:11:26 | 20            | 3             | 53          | 529             | 0.0961 | 6           |
| 2026-04-02 18:11:27 | 28            | 14            | 58          | 506             | 0.0734 | 7           |
| 2026-04-02 18:11:29 | ㅁㄴㅇㅇㅁ    | 10            | 54          | 546             | 0.0696 | 6           |
| 2026-04-02 18:14:41 | ㅁㄴㅇㅁ      | 3             | 59          | 586             | 0.0466 | 7           |
| 2026-04-02 18:17:49 | ㅁㄴㅇㅁ      | 9             | 53          | 566             | 0.0531 | 7           |
| 2026-04-02 18:24:31 | 0             | 0             | 0           | 0               | 0      | 0           |
| 2026-04-02 18:24:31 | 23            | 7             | 53          | 672             | 0.0839 | 6           |
+---------------------+---------------+---------------+-------------+-----------------+--------+-------------+
